Date,Open,High,Low,Close,Adj Close,Volume
2017/05/24,"20,949.21","21,022.82","20,933.58","21,012.42","21,012.42","283,180,000"
2017/05/25,"21,062.96","21,112.32","21,051.41","21,082.95","21,082.95","268,970,000"
2017/05/26,"21,070.15","21,092.82","21,050.49","21,080.28","21,080.28","208,000,000"
2017/05/30,"21,045.49","21,063.62","21,009.60","21,029.47","21,029.47","242,810,000"
2017/05/31,"21,048.46","21,051.70","20,942.57","21,008.65","21,008.65","371,580,000"
2017/06/01,"21,030.55","21,144.18","20,994.22","21,144.18","21,144.18","276,730,000"
2017/06/02,"21,142.09","21,225.04","21,129.56","21,206.29","21,206.29","329,700,000"
2017/06/05,"21,195.03","21,224.41","21,168.69","21,184.04","21,184.04","269,790,000"
2017/06/06,"21,145.48","21,180.47","21,118.46","21,136.23","21,136.23","283,550,000"
2017/06/07,"21,171.57","21,189.84","21,113.31","21,173.69","21,173.69","273,400,000"
2017/06/08,"21,169.76","21,265.69","21,138.16","21,182.53","21,182.53","330,330,000"
2017/06/09,"21,208.96","21,305.35","21,159.45","21,271.97","21,271.97","397,200,000"
2017/06/12,"21,259.95","21,277.08","21,186.15","21,235.67","21,235.67","528,080,000"
2017/06/13,"21,256.83","21,332.77","21,256.83","21,328.47","21,328.47","323,510,000"
2017/06/14,"21,342.71","21,391.97","21,294.09","21,374.56","21,374.56","295,090,000"
2017/06/15,"21,291.69","21,367.28","21,261.87","21,359.90","21,359.90","317,200,000"
2017/06/16,"21,335.93","21,384.42","21,308.01","21,384.28","21,384.28","603,260,000"
2017/06/19,"21,444.75","21,528.99","21,436.08","21,528.99","21,528.99","289,400,000"
2017/06/20,"21,521.25","21,535.03","21,464.24","21,467.14","21,467.14","310,200,000"
2017/06/21,"21,466.39","21,492.62","21,390.00","21,410.03","21,410.03","292,500,000"
2017/06/22,"21,407.98","21,456.47","21,394.81","21,397.29","21,397.29","270,680,000"
2017/06/23,"21,380.92","21,421.79","21,333.89","21,394.76","21,394.76","368,400,000"
2017/06/26,"21,434.68","21,506.21","21,381.25","21,409.55","21,409.55","241,880,000"
2017/06/27,"21,411.19","21,440.60","21,310.66","21,310.66","21,310.66","292,170,000"
2017/06/28,"21,372.36","21,478.75","21,372.36","21,454.61","21,454.61","271,510,000"
2017/06/29,"21,487.38","21,487.38","21,197.08","21,287.03","21,287.03","336,750,000"
2017/06/30,"21,348.60","21,426.12","21,325.08","21,349.63","21,349.63","313,260,000"
2017/07/03,"21,392.30","21,562.75","21,391.71","21,479.27","21,479.27","186,810,000"
2017/07/05,"21,492.83","21,505.36","21,404.76","21,478.17","21,478.17","273,690,000"
2017/07/06,"21,423.93","21,433.10","21,305.38","21,320.04","21,320.04","320,450,000"
2017/07/07,"21,354.66","21,425.82","21,350.72","21,414.34","21,414.34","242,240,000"
2017/07/10,"21,381.23","21,446.39","21,371.11","21,408.52","21,408.52","270,340,000"
2017/07/11,"21,410.17","21,441.62","21,279.30","21,409.07","21,409.07","247,570,000"
2017/07/12,"21,467.93","21,580.79","21,467.93","21,532.14","21,532.14","267,870,000"
2017/07/13,"21,537.19","21,568.72","21,512.36","21,553.09","21,553.09","232,270,000"
2017/07/14,"21,532.77","21,681.53","21,521.72","21,637.74","21,637.74","235,590,000"
2017/07/17,"21,633.97","21,661.81","21,617.66","21,629.72","21,629.72","244,780,000"
2017/07/18,"21,589.94","21,589.94","21,471.14","21,574.73","21,574.73","251,110,000"
2017/07/19,"21,569.25","21,640.75","21,565.84","21,640.75","21,640.75","253,040,000"
2017/07/20,"21,641.54","21,661.91","21,576.96","21,611.78","21,611.78","313,950,000"
2017/07/21,"21,591.72","21,592.61","21,503.78","21,580.07","21,580.07","362,830,000"
2017/07/24,"21,577.78","21,577.78","21,496.13","21,513.17","21,513.17","284,080,000"
2017/07/25,"21,638.56","21,670.62","21,577.37","21,613.43","21,613.43","304,300,000"
2017/07/26,"21,690.38","21,742.70","21,683.29","21,711.01","21,711.01","278,240,000"
2017/07/27,"21,717.42","21,798.47","21,687.85","21,796.55","21,796.55","407,320,000"
2017/07/28,"21,787.51","21,841.18","21,756.12","21,830.31","21,830.31","285,630,000"
2017/07/31,"21,863.39","21,929.80","21,861.71","21,891.12","21,891.12","307,610,000"
2017/08/01,"21,961.42","21,990.96","21,940.81","21,963.92","21,963.92","328,410,000"
2017/08/02,"22,004.36","22,036.10","21,967.46","22,016.24","22,016.24","336,820,000"
2017/08/03,"22,007.58","22,044.85","21,991.32","22,026.10","22,026.10","278,730,000"
2017/08/04,"22,058.39","22,092.81","22,024.64","22,092.81","22,092.81","253,640,000"
2017/08/07,"22,100.20","22,121.15","22,081.97","22,118.42","22,118.42","213,010,000"
2017/08/08,"22,095.14","22,179.11","22,057.29","22,085.34","22,085.34","262,000,000"
2017/08/09,"22,022.34","22,057.19","21,996.69","22,048.70","22,048.70","277,800,000"
